url,title,description,publishedAt,title_description,key_topics,cluster
https://theintercept.com/2025/04/19/trump-tariffs-crypto-bitcoin-reserve/,The Galaxy Brains of the Trump White House Want to Use Tariffs to Buy Bitcoin,Critics on the right and left say the bitcoin reserve is a pointless industry handout — and using tariff revenue is even dumber.,2025-04-19T14:08:05Z,The Galaxy Brains of the Trump White House Want to Use Tariffs to Buy Bitcoin: Critics on the right and left say the bitcoin reserve is a pointless industry handout — and using tariff revenue is even dumber.,trump reserve industry brains dumber tariffs revenue critics white bitcoin left handout galaxy house tariff right pointless,1
https://www.mercurynews.com/2025/04/10/cyptocurrencys-role-in-the-cannabis-industry/,Cyptocurrency’s Role In The Cannabis Industry,"While blockchain technology has potential applications in areas like supply chain transparency and compliance automation, Bitcoin itself has proven ill-suited to solving the cannabis industry’s banking woes.",2025-04-10T12:00:06Z,"Cyptocurrency’s Role In The Cannabis Industry: While blockchain technology has potential applications in areas like supply chain transparency and compliance automation, Bitcoin itself has proven ill-suited to solving the cannabis industry’s banking woes.",banking industry cannabis role applications blockchain chain automation bitcoin suited areas supply cyptocurrency potential woes transparency technology compliance,-1
https://www.cnbc.com/2025/04/08/why-bitcoin-is-showing-impressive-resilience-amid-tariff-tumult-per-bernstein.html,"Why bitcoin is showing 'impressive' resilience amid tariff tumult, per Bernstein","Uncertainty around President Donald Trump's tariffs have taken stocks for a ride, but bitcoin has outperformed.",2025-04-08T16:34:57Z,"Why bitcoin is showing 'impressive' resilience amid tariff tumult, per Bernstein: Uncertainty around President Donald Trump's tariffs have taken stocks for a ride, but bitcoin has outperformed.",trump tumult donald tariffs stocks bitcoin president bernstein resilience tariff impressive uncertainty ride,1
https://qz.com/bitcoin-ether-down-tariffs-1851775076,"Bitcoin falls below $78,000 as tariffs hit crypto, Ether hard","The second-leading token, Ether, has fared even worse since Trump announced sweeping new tariffs last week",2025-04-07T17:13:00Z,"Bitcoin falls below $78,000 as tariffs hit crypto, Ether hard: The second-leading token, Ether, has fared even worse since Trump announced sweeping new tariffs last week",sweeping trump token crypto tariffs new bitcoin worse ether week,1
https://markets.businessinsider.com/news/stocks/gamestop-stock-jumps-amid-bitcoin-move-here-s-what-wedbush-predicts-ahead-1034519487,GameStop Stock Jumps Amid Bitcoin Move: Here’s What Wedbush Predicts Ahead,GameStop (NYSE:GME) shares jumped ~12% in Wednesday’s session after the videogame retailer released its fiscal fourth quarter results. But the r...,2025-03-27T05:08:35Z,GameStop Stock Jumps Amid Bitcoin Move: Here’s What Wedbush Predicts Ahead: GameStop (NYSE:GME) shares jumped ~12% in Wednesday’s session after the videogame retailer released its fiscal fourth quarter results. But the r...,fiscal shares wedbush quarter results videogame bitcoin r fourth session retailer stock wednesday nyse gamestop gme,-1
https://edition.cnn.com/2025/03/23/politics/trump-campaign-pledges-rewards/index.html,They helped Trump take back the White House. The rewards have come swiftly.,"Trump’s return to power was achieved in part through an unorthodox coalition-building strategy. He courted groups who might’ve been overlooked by Republican candidates, like Bitcoin enthusiasts, making direct appeals with policy promises tailored to specific audiences. Many of them are benefiting now.",2025-03-23T09:00:52Z,"They helped Trump take back the White House. The rewards have come swiftly.: Trump’s return to power was achieved in part through an unorthodox coalition-building strategy. He courted groups who might’ve been overlooked by Republican candidates, like Bitcoin enthusiasts, making direct appeals with policy promises tailored to specific audiences. Many of them are benefiting now.",unorthodox return audiences appeals specific building white candidates rewards enthusiasts promises republican house trump power direct strategy bitcoin groups policy coalition,-1
https://nypost.com/2025/03/20/business/trump-vows-to-make-us-undisputed-bitcoin-superpower-and-crypto-capital-of-the-world/,Trump vows to make US 'undisputed Bitcoin superpower and crypto capital of the world',"President Donald Trump vowed to make America ""the undisputed Bitcoin superpower and the crypto capital of the world"" in remarks to the Blockworks Digital Assets Summit on Thursday.",2025-03-21T02:40:27Z,"Trump vows to make US 'undisputed Bitcoin superpower and crypto capital of the world': President Donald Trump vowed to make America ""the undisputed Bitcoin superpower and the crypto capital of the world"" in remarks to the Blockworks Digital Assets Summit on Thursday.",trump crypto digital vows donald undisputed superpower assets bitcoin remarks thursday president blockworks world summit capital america,0
https://venturebeat.com/business/ddc-announces-strategy-to-create-bitcoin-reserves-and-appoints-crypto-asset-expert-alex-yang-as-strategic-advisor/,DDC Announces Strategy to Create Bitcoin Reserves and Appoints Crypto Asset Expert Alex Yang as Strategic Advisor,"Press Release DDC Enterprise, Ltd. (NYSEAM: DDC), (“DayDayCook,” “DDC,” or the “Company”), a leading multi-brand Asian consumer food company, today announced a transformative initiative to adopt Bitcoin as part of its treasury reserves, alongside an announcement that…",2025-03-18T14:26:01Z,"DDC Announces Strategy to Create Bitcoin Reserves and Appoints Crypto Asset Expert Alex Yang as Strategic Advisor: Press Release DDC Enterprise, Ltd. (NYSEAM: DDC), (“DayDayCook,” “DDC,” or the “Company”), a leading multi-brand Asian consumer food company, today announced a transformative initiative to adopt Bitcoin as part of its treasury reserves, alongside an announcement that…",crypto asian consumer alex nyseam expert press announcement treasury asset initiative release food strategic ltd brand enterprise yang transformative advisor company appoints today multi reserves bitcoin strategy ddc,-1
https://www.bostonglobe.com/2025/03/18/opinion/trump-strategic-bitcoin-reserve-cryptocurrency-lobby/,Trump’s ‘Strategic Bitcoin Reserve’ makes no sense,"The list of justifications for a government bitcoin stockpile is long, not because there are many good ones, but because there are none, so the schemes’ apologists must keep trying.",2025-03-18T04:00:00Z,"Trump’s ‘Strategic Bitcoin Reserve’ makes no sense: The list of justifications for a government bitcoin stockpile is long, not because there are many good ones, but because there are none, so the schemes’ apologists must keep trying.",trump reserve government long ones list strategic good sense bitcoin stockpile schemes apologists justifications,0
https://www.mercurynews.com/2025/03/17/strategy-buys-more-bitcoin-after-announcing-preferred-sales/,Strategy buys more Bitcoin after announcing preferred sales,"The former MicroStrategy purchased 130 Bitcoin at an average price of approximately $82,981 from March 10 through March 16.",2025-03-17T16:44:30Z,"Strategy buys more Bitcoin after announcing preferred sales: The former MicroStrategy purchased 130 Bitcoin at an average price of approximately $82,981 from March 10 through March 16.",sales price microstrategy bitcoin strategy average preferred march,1
